row_index,entry_id,label,fold
0,mp-67,1,3
1,mp-945,1,2
2,mp-1001836,1,4
3,mp-12675,1,5
4,mp-1526,1,3
5,mp-2831,1,3
6,mp-585,0,2
7,mp-374,1,3
8,mp-3702,1,2
9,mp-20551,1,4
10,mp-1077378,1,1
11,mp-12105,1,1
12,mp-557523,1,2
13,mp-774,1,3
14,mp-1866,1,2
15,mp-20426,1,2
16,mp-20664,0,5
17,mp-21471,0,4
18,mp-510536,1,1
19,mp-505803,0,3
20,mp-1205355,0,2
21,mp-19284,0,3
22,mp-873,1,1
23,mp-1078584,0,3
24,mp-13154,1,5
25,mp-8994,0,4
26,mp-1079966,1,3
27,mp-248,0,1
28,mp-10049,0,5
29,mp-10445,1,2
30,mp-10446,1,1
31,mp-1079542,0,3
32,mp-778,1,5
33,mp-11181,1,3
34,mp-20683,1,3
35,mp-22962,0,1
36,mp-28282,1,5
37,mp-1103264,1,4
38,mp-2666,0,3
39,mp-19069,0,5
40,mp-11270,0,5
41,mp-2851,1,2
42,mp-9630,0,4
43,mp-1025510,0,4
44,mp-1189328,1,5
45,mp-28573,1,4
46,mp-1105852,0,1
47,mp-18257,1,1
48,mp-556208,0,1
49,mp-10922,1,4
50,mp-1078086,1,5
51,mp-10923,1,4
52,mp-1077840,1,2
53,mp-18246,1,2
54,mp-1182576,0,3
55,mp-614724,1,1
56,mp-20382,0,3
57,mp-16916,1,1
58,mp-556360,1,3
59,mp-7660,1,1
60,mp-27734,1,5
61,mp-562468,0,1
62,mp-1192084,1,5
63,mp-20854,0,1
64,mp-554332,1,3
65,mp-28186,1,1
66,mp-568614,0,4
67,mp-571457,1,3
68,mp-19097,1,5
69,mp-672346,1,5
70,mp-8695,0,3
71,mp-28138,0,5
72,mp-1194721,0,5
73,mp-7250,1,5
74,mp-1199595,0,2
75,mp-698410,0,2
76,mp-1195522,0,3
77,mp-1018084,0,4
78,mp-10257,0,5
79,mp-1070789,0,4
80,mp-1078053,1,1
81,mp-1079035,0,2
82,mp-1079560,1,1
83,mp-1079717,1,2
84,mp-1079747,0,4
85,mp-1080817,0,5
86,mp-1095521,1,5
87,mp-1102167,1,3
88,mp-1102559,1,1
89,mp-1102664,1,5
90,mp-1104097,0,5
91,mp-1105840,0,4
92,mp-11300,1,1
93,mp-1182382,0,5
94,mp-1190013,1,5
95,mp-1190159,0,4
96,mp-1190456,0,1
97,mp-1192675,1,5
98,mp-1193661,1,3
99,mp-1194910,1,3
100,mp-1196957,0,2
101,mp-1197201,1,2
102,mp-1203045,0,4
103,mp-1205299,0,4
104,mp-12565,1,2
105,mp-12857,0,5
106,mp-13463,1,1
107,mp-1441,1,1
108,mp-1478,0,3
109,mp-1726,0,1
110,mp-17467,1,2
111,mp-19147,1,4
112,mp-19167,0,4
113,mp-19252,0,5
114,mp-19372,1,5
115,mp-19376,0,1
116,mp-19405,1,5
117,mp-22752,0,1
118,mp-22892,1,3
119,mp-23038,1,1
120,mp-23069,0,3
121,mp-23204,1,1
122,mp-2649,1,1
123,mp-28208,0,2
124,mp-28283,1,1
125,mp-29076,1,3
126,mp-3021,1,3
127,mp-30675,1,1
128,mp-3332,1,1
129,mp-404,0,3
130,mp-4238,0,2
131,mp-493,1,3
132,mp-555,1,2
133,mp-559246,1,4
134,mp-568270,1,5
135,mp-569001,1,4
136,mp-569610,1,2
137,mp-569753,1,5
138,mp-569890,1,1
139,mp-570271,0,5
140,mp-570722,1,5
141,mp-578610,1,1
142,mp-579963,0,3
143,mp-600561,1,2
144,mp-613327,1,3
145,mp-638590,1,1
146,mp-643697,1,4
147,mp-694,0,5
148,mp-755100,0,3
149,mp-768613,0,5
150,mp-8306,0,4
151,mp-9549,0,2
152,mp-999540,1,3
153,mp-505732,1,1
154,mp-1102046,1,5
155,mp-1104786,0,2
156,mp-1188153,1,5
157,mp-1188205,1,2
158,mp-1190798,0,3
159,mp-20641,1,4
160,mp-28137,1,1
161,mp-28865,0,3
162,mp-30411,1,3
163,mp-541814,1,3
164,mp-570455,0,4
165,mp-758104,1,5
166,Fe1Ni1_#123_0.json,1,1
167,Al1Mn1_#123_0.json,1,4
168,Al1Co3_#123_1A.json,0,2
169,Al1Co3_#187_1A.json,1,3
170,Al1Co5_#123_1A.json,0,3
171,Al1Co5_#189_1A.json,1,4
172,Al2Co16_#139_1A.json,0,1
173,Al2Co4_#139_1A.json,1,5
