row_index,entry_id,fold
0,mp-67,3
1,mp-945,5
2,mp-1001836,2
3,mp-11516,3
4,mp-12110,4
5,mp-12675,3
6,mp-1526,2
7,mp-1918,3
8,mp-2831,5
9,mp-13,4
10,mp-417,3
11,mp-2090,4
12,mp-374,3
13,mp-12798,5
14,mp-3702,5
15,mp-1649,2
16,mp-20344,5
17,mp-23,4
18,mp-2515,2
19,mp-372,4
20,mp-10596,5
21,mp-2,5
22,mp-20551,4
23,mp-554201,1
24,mp-570428,3
25,mp-22461,1
26,mp-10700,5
27,mp-20424,3
28,mp-505622,4
29,mp-567703,1
30,mp-16334,1
31,mp-1077378,2
32,mp-12105,1
33,mp-12743,3
34,mp-557523,5
35,mp-774,4
36,mp-1866,4
37,mp-20426,5
38,mp-22498,4
39,mp-1901,2
40,mp-20714,5
41,mp-510536,3
42,mp-1005,3
43,mp-8365,2
44,mp-2567,1
45,mp-873,1
46,mp-13154,4
47,mp-15650,3
48,mp-1079966,2
49,mp-10445,1
50,mp-10446,4
51,mp-778,2
52,mp-1078253,3
53,mp-1010,5
54,mp-7892,2
55,mp-11181,3
56,mp-20683,1
57,mp-28282,4
58,mp-1103264,2
59,mp-20334,1
60,mp-21325,3
61,mp-30423,4
62,mp-614,4
63,mp-1095679,1
64,mp-1102616,5
65,mp-21893,1
66,mp-2851,3
67,mp-1025195,2
68,mp-568349,3
69,mp-964,1
70,mp-1025291,1
71,mp-30410,2
72,mp-28375,2
73,mp-14653,1
74,mp-23294,3
75,mp-10894,4
76,mp-1188188,1
77,mp-1806,3
78,mp-21469,1
79,mp-1189507,4
80,mp-29973,3
81,mp-31328,2
82,mp-571471,3
83,mp-22731,2
84,mp-1188223,2
85,mp-607953,3
86,mp-1189328,2
87,mp-28235,2
88,mp-28573,3
89,mp-1079754,4
90,mp-1106367,4
91,mp-29804,5
92,mp-772040,3
93,mp-1106094,4
94,mp-12464,3
95,mp-18257,5
96,mp-10922,3
97,mp-1078086,3
98,mp-10923,5
99,mp-1077840,1
100,mp-1191025,1
101,mp-18246,2
102,mp-553980,3
103,mp-614724,5
104,mp-1191175,4
105,mp-562412,3
106,mp-29715,3
107,mp-863265,2
108,mp-567148,4
109,mp-1072398,1
110,mp-16916,3
111,mp-18817,1
112,mp-556360,5
113,mp-557055,2
114,mp-727926,4
115,mp-7660,1
116,mp-1025010,4
117,mp-27734,3
118,mp-28825,2
119,mp-30807,4
120,mp-1191858,1
121,mp-568430,1
122,mp-1192084,5
123,mp-554332,2
