entry_id,source,formula,space_group_number,K_eff_MJ_per_m3,mu0_Ms_T,easy_axis_label,in_classification_set,in_regression_set,cif_file
mp-67,MP structure; K_eff from this work (DFT),Sc2,194,0.012958643,0.161,1,1,1,structures/mp-67.cif
mp-945,MP structure; K_eff from this work (DFT),Ni1Pt1,123,3.944055935,0.2868,1,1,1,structures/mp-945.cif
mp-1001836,MP structure; K_eff from this work (DFT),Mn1Ga1,123,2.319944773,1.2274,1,1,1,structures/mp-1001836.cif
mp-11516,MP structure; K_eff from this work (DFT),Nb1Ru1,221,0.0,0.0443,,0,1,structures/mp-11516.cif
mp-12110,MP structure; K_eff from this work (DFT),Ta1Ru1,221,0.0,0.1108,,0,1,structures/mp-12110.cif
mp-12675,MP structure; K_eff from this work (DFT),Mn1Au1,123,0.727389892,1.4306,1,1,1,structures/mp-12675.cif
mp-1526,MP structure; K_eff from this work (DFT),Ti1Hg1,123,0.572888515,0.1557,1,1,1,structures/mp-1526.cif
mp-1918,MP structure; K_eff from this work (DFT),Fe1Rh1,221,0.0,1.901,,0,1,structures/mp-1918.cif
mp-2831,MP structure; K_eff from this work (DFT),Fe1Pd1,123,1.516065263,0.7492,1,1,1,structures/mp-2831.cif
mp-13,MP structure; K_eff from this work (DFT),Fe2,229,0.0,1.3138,,0,1,structures/mp-13.cif
mp-417,MP structure; K_eff from this work (DFT),Mn1Rh1,221,0.0,1.7596,,0,1,structures/mp-417.cif
mp-2090,MP structure; K_eff from this work (DFT),Fe1Co1,221,0.0,2.464,,0,1,structures/mp-2090.cif
mp-585,MP structure; K_eff from this work (DFT),Mn1B2,191,-2.371395995,1.4259,0,1,0,structures/mp-585.cif
mp-374,MP structure; K_eff from this work (DFT),Cr1B2,191,0.897622693,0.5098,1,1,1,structures/mp-374.cif
mp-12798,MP structure; K_eff from this work (DFT),Ni3Pt1,221,0.0,0.7176,,0,1,structures/mp-12798.cif
mp-3702,MP structure; K_eff from this work (DFT),Fe1Cu1Pt2,123,5.218516958,0.8983,1,1,1,structures/mp-3702.cif
mp-1649,MP structure; K_eff from this work (DFT),Fe3Pt1,221,0.0,1.8525,,0,1,structures/mp-1649.cif
mp-20344,MP structure; K_eff from this work (DFT),Fe3Ge1,221,0.0,1.8583,,0,1,structures/mp-20344.cif
mp-23,MP structure; K_eff from this work (DFT),Ni4,225,0.0,0.7859,,0,1,structures/mp-23.cif
mp-2515,MP structure; K_eff from this work (DFT),Cr1Pt3,221,0.0,0.5771,,0,1,structures/mp-2515.cif
mp-372,MP structure; K_eff from this work (DFT),V1Pt3,221,0.0,0.2522,,0,1,structures/mp-372.cif
mp-10596,MP structure; K_eff from this work (DFT),Fe1Ir3,221,0.0,0.7957,,0,1,structures/mp-10596.cif
mp-2,MP structure; K_eff from this work (DFT),Pd4,225,0.0,0.2988,,0,1,structures/mp-2.cif
mp-20551,MP structure; K_eff from this work (DFT),Ga1Co2Ni1,123,0.169156792,0.7612,1,1,1,structures/mp-20551.cif
mp-554201,MP structure; K_eff from this work (DFT),Mo1F3,221,0.0,0.5059,,0,1,structures/mp-554201.cif
mp-570428,MP structure; K_eff from this work (DFT),Sc3In1,221,0.0,0.2431,,0,1,structures/mp-570428.cif
mp-22461,MP structure; K_eff from this work (DFT),Fe3Sn1,221,0.0,1.4079,,0,1,structures/mp-22461.cif
mp-10700,MP structure; K_eff from this work (DFT),Mg1Ni3C1,221,0.0,0.1221,,0,1,structures/mp-10700.cif
mp-20424,MP structure; K_eff from this work (DFT),Mg1Co3C1,221,0.0,0.4911,,0,1,structures/mp-20424.cif
mp-505622,MP structure; K_eff from this work (DFT),Mn4N1,221,0.0,2.5761,,0,1,structures/mp-505622.cif
